abd_l,abd_r,add_l,add_r,bifemsh_l,bifemsh_r,gastroc_l,glut_max_l,glut_max_r,hamstrings_l,hamstrings_r,iliopsoas_l,iliopsoas_r,rect_fem_l,rect_fem_r,soleus_l,tib_ant_l,vasti_l,vasti_r
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0953,NaN,NaN,NaN,0.0977,NaN,0.1572,0.0921,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0938,NaN,NaN,NaN,0.1033,NaN,0.1061,0.0994,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0911,NaN,NaN,NaN,0.1116,NaN,0.0738,0.1292,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0867,NaN,NaN,NaN,0.122,NaN,0.0573,0.1826,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0813,NaN,NaN,NaN,0.1321,NaN,0.0511,0.2494,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0757,NaN,NaN,NaN,0.1374,NaN,0.0501,0.3128,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0708,NaN,NaN,NaN,0.1344,NaN,0.051,0.3607,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0675,NaN,NaN,NaN,0.1233,NaN,0.0521,0.3921,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0664,NaN,NaN,NaN,0.108,NaN,0.0528,0.4109,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0671,NaN,NaN,NaN,0.0935,NaN,0.0527,0.416,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0685,NaN,NaN,NaN,0.0829,NaN,0.0519,0.4026,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0694,NaN,NaN,NaN,0.0759,NaN,0.0504,0.37,NaN,NaN
